SKU,title,description,price,image_link,Quantity
RRCA-A024-C90,"Cámara de aire 10x3 - 255x80 (válvula 90 90) - Premium","Esta cámara tiene una válvula curvada de 90 grados.",3.90,"https://emovedistribution.com/wp-content/uploads/2024/05/10x2125-90o-90o-general.jpg,https://emovedistribution.com/wp-content/uploads/2023/11/frente.jpg,https://emovedistribution.com/wp-content/uploads/2023/10/10x25-90o-90o-tres.jpg,https://emovedistribution.com/wp-content/uploads/2023/10/cam-aire-255x80-dos.png",0
RRCA-A024,"Cámara de aire 10x3 - 255x80 (válvula recta)",,5.90,https://emovedistribution.com/wp-content/uploads/2024/02/Sdcf1c528ce18457aa78bd8f244e2e31a2.jpg.webp,0
RRCA-A024-C45,"Cámara de aire 10x3 - 255x80 (válvula 90 45)","Esta cámara tiene una válvula curvada de 90 grados.",3.90,"https://emovedistribution.com/wp-content/uploads/2024/02/emove-21092024-.jpg,https://emovedistribution.com/wp-content/uploads/2024/02/emove-21092024.-.jpg,https://emovedistribution.com/wp-content/uploads/2024/02/RRCA-005A-细节2.webp",0
RRCA-A005-C90,"Cámara de aire 10x2,125 (valvula 90 90)","La Cámara de Aire 10x2,125 con válvula de 90 90 ofrece un ajuste preciso para ruedas de patinete y scooters.",5.90,https://emovedistribution.com/wp-content/uploads/2022/03/RRCA-005A-90-细节1.webp,100
RME-010A-Azul,"Cilindro muelle amortiguador patinete eléctrico 120mm Azul (Pack 2 unidades)","El cilindro muelle amortiguador de 120mm para patinete eléctrico (pack de 2 unidades) es ideal para mejorar la suspensión y la comodidad de tu patinete.",17.9,,100
RRMA-034-Negro,"Rueda maciza amarilla offroad 10x2,125-6,5 42,5mm Negro","La rueda maciza 10x2,125-6,5 es ideal para patinetes eléctricos, ofreciendo durabilidad y resistencia a pinchazos.",24.9,,100
A-024-Rojo,"Luz Advertencia LED para Patinete y Bici (Rojo)",,11.9,,100
H-052,"Malla de succión de soldadura 1.5M x 2.0mm",,3.9,,100
RME-007-A4,"Caballete universal plano patinete 190mm",,8.9,https://emovedistribution.com/wp-content/uploads/2025/07/rme-007-a4.jpeg,100
RMR-041-Mi4Pro,"BMS para Xiaomi 4 Pro",,38.9,,100
RRCU-085,"Rueda cubierta 10x2,125-6 Tubetype",,11.9,https://emovedistribution.com/wp-content/uploads/2025/07/20250714-154646.png,0
SR-MAX-006,"Cable motor smartGyro Dual MAX (Un Par)",,14.9,,100
SR-K2-030,"Cable motor smartGyro K2 (Un Par)",,14.9,,100
RK-G3pro-008,"Luz delantera para Kukirin G3 Pro",,30.9,https://emovedistribution.com/wp-content/uploads/2025/07/RK-008-1.png,100
SR-EVO-008-PRO,"Guardabarros trasero con luz para Smartgyro Rockway Evo PRO",,30.90,"https://emovedistribution.com/wp-content/uploads/2025/07/guardabarros-trasero-con-led-rockway-pro-evo-2.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/guardabarros-trasero-con-led-rockway-pro-evo-1.jpg",
RK-G2Master-005,"Display KuKirin G2 Master (Versión TFM13-FEMAI-3)","Display para Kukirin G2 Master (VERSIÓN TFM13-FEMAI-3). Asegurad que la versión de la pantalla sea la misma.",60.9,"https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-145003.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-145012.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-145021.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-145031.jpg",0
H-047-DC-XLR4PIN,"Cable convertidor DC a XLR de 4 pines",,9.9,,100
RK-G2Max-013-T,"Muelle de 125mm para Kukirin G2 MAX (trasero)","Muelle de 125 mm para Kukirin (revisar las medidas y modelos compatibles)",19.90,https://emovedistribution.com/wp-content/uploads/2025/03/Captura-de-pantalla-2025-07-25-144806.jpg,100
RK-G3Pro-013-D,"Muelle de 130mm para Kukirin G3 PRO (Delantero)","Muelle de 130 mm para Kukirin (revisar las medidas y modelos compatibles)",68.90,https://emovedistribution.com/wp-content/uploads/2025/03/Captura-de-pantalla-2025-07-25-144703.jpg,0
RK-G2Master-011-T,"Guardabarros trasero Kukirin G2 Master (Original) / Smartgyro Ryder",,11.9,"https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144559.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144608.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144617.jpg",100
RK-G2Master-011-D,"Guardabarros delantero Kukirin G2 Master (Original) / Smartgyro Ryder",,9.90,,0
RK-G3Pro-011-T,"Guardabarros trasero Kukirin G3 PRO (Original)",,10.9,"https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144348.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144358.jpg",100
RK-G2MAX-011-T,"Guardabarros trasero Kukirin G2 MAX (Original)",,11.9,"https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144439.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144448.jpg",100
RK-G3Pro-011-D,"Guardabarros delantero Kukirin G3 PRO (Original)",,9.9,"https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144253.jpg,https://emovedistribution.com/wp-content/uploads/2025/07/Captura-de-pantalla-2025-07-25-144304.jpg",100
SR-044,"Horquilla para Smartgyro K2 PRO",,60.9,,0
RMR-095B,"Cable motor Xiaomi",,8.9,,100
SR-ZONE-004,"Cable de Comunicación display controladora Compatible con Smartgyro Z-One Modelo 2023",,6.9,,100
SR-ZONE-003,"Controladora Compatible con Smartgyro Z-One Modelo 2023 (19A)",,60.9,"https://emovedistribution.com/wp-content/uploads/2025/06/SR-ZONE-003-02.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/SR-ZONE-003-03.jpg",100
SR-ZONE-002,"Display Compatible con Smartgyro Z-One Modelo 2023",,"30,9",https://emovedistribution.com/wp-content/uploads/2025/06/20250627-184508.jpeg,100
SR-ZONE-001,"Controladora Compatible con Smartgyro Z-One Pro Modelo 2023 (23A)",,60.9,"https://emovedistribution.com/wp-content/uploads/2025/06/SR-ZONE-001-0022.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/SR-ZONE-001-003.jpg",100
NZT3-008,"Motor 650W para Segway Ninebot ZT3 Pro",,"160,90","https://emovedistribution.com/wp-content/uploads/2025/06/S8e5a0414eda24f229e99e9624f17144bP.webp,https://emovedistribution.com/wp-content/uploads/2025/06/S4a9eef98924c4367836c1d91ec0846dfU.webp,https://emovedistribution.com/wp-content/uploads/2025/06/S85ad00b56e844c73b2c63782577e7cb7T.webp",0
NZT3-004,"Luz LED Trasera Original para Patinete Eléctrico Segway Ninebot ZT3 Pro",,18.9,https://emovedistribution.com/wp-content/uploads/2025/06/S44960ffb4cc84a33875b3dd975b0a4bdh.webp,
NZT3-003,"Faro LED Original para Ninebot by Segway Ninebot ZT3 Pro",,19.9,"https://emovedistribution.com/wp-content/uploads/2025/06/S81c712b8e578461ea03b74df6dd3262er.webp,https://emovedistribution.com/wp-content/uploads/2025/06/S1cff596d8b5345099b171f67b299a15bD.webp,https://emovedistribution.com/wp-content/uploads/2025/06/Sce950340d07549e5af6c04a8f4d0172cz.webp,https://emovedistribution.com/wp-content/uploads/2025/06/Sf1f4b7c37c854973ba8776f7d3aa3feag.webp",100
NZT3-011,"Display para Segway Ninebot ZT3 Pro (modelo sin intermitentes)",,68.90,"https://emovedistribution.com/wp-content/uploads/2025/06/1000003859.png,https://emovedistribution.com/wp-content/uploads/2025/06/1000003857.png,https://emovedistribution.com/wp-content/uploads/2025/06/1000003858.png",0
NZT3-006,"Acelerador de giro para Segway Ninebot ZT3 Pro",,26.9,"https://emovedistribution.com/wp-content/uploads/2025/06/S94f2ce9caaa5419f8c470c0d3ca43a81N.webp,https://emovedistribution.com/wp-content/uploads/2025/06/S5e1adfa7255748fb901ff6d1f6eae333S.webp",100
NZT3-005,"Botonera para Segway Ninebot ZT3 Pro",,24.9,https://emovedistribution.com/wp-content/uploads/2025/06/S7ae191ec78aa470a8d67781d721b11f4p.webp,100
NZT3-002,"Horquilla delantera Original para Segway Ninebot ZT3 Pro",,60.9,"https://emovedistribution.com/wp-content/uploads/2025/06/20250626-140321.jpeg,https://emovedistribution.com/wp-content/uploads/2025/06/20250626-140317.jpeg,https://emovedistribution.com/wp-content/uploads/2025/06/20250626-140311.jpeg,https://emovedistribution.com/wp-content/uploads/2025/06/20250626-140307.jpeg,https://emovedistribution.com/wp-content/uploads/2025/06/20250626-140258.jpeg",100
NZT3-013,"Tapa de horquilla para Segway Ninebot ZT3 Pro",,15.9,"https://emovedistribution.com/wp-content/uploads/2025/06/S704f33e439e44dc8a232c5bff19bf6d7H-1.webp,https://emovedistribution.com/wp-content/uploads/2025/06/Sf9aeed53848347cb864be7e6c93ef12ak.webp",100
NZT3-010,"Caballete para Segway Ninebot ZT3 Pro",,16.90,"https://emovedistribution.com/wp-content/uploads/2025/06/Sab426efb36a848998b2f49ef6d70cc6bj.webp,https://emovedistribution.com/wp-content/uploads/2025/06/S48c311817fbc46709d829be4235e1eb30.webp",100
NZT3-009,"Pinza de freno para Segway Ninebot ZT3 Pro",,33.9,"https://emovedistribution.com/wp-content/uploads/2025/06/S310d34efb23e42c2aac4908184a9b579w.webp,https://emovedistribution.com/wp-content/uploads/2025/06/Sc5c1782ced904faca2a54e413209a9e95.webp,https://emovedistribution.com/wp-content/uploads/2025/06/S322537480cda4291a7a00b1ca6f96e8b8.webp,https://emovedistribution.com/wp-content/uploads/2025/06/Sb58b70f8cd4c4d8ab7dcf0bde218ad45h.webp",100
NZT3-007,"Guardabarros trasero con luz de cola para Segway Ninebot ZT3 Pro",,31.9,"https://emovedistribution.com/wp-content/uploads/2025/06/ZT3PRO后档配灯.webp,https://emovedistribution.com/wp-content/uploads/2025/06/ZT3PRO后档配灯-2.webp",100
NZT3-012,"Controladora Original para Segway Ninebot ZT3 Pro",,104.9,https://emovedistribution.com/wp-content/uploads/2025/06/111.webp,100
NZT3-001,"Luces (tipo X) para patinete eléctrico Segway Ninebot ZT3 Pro",,29.9,"https://emovedistribution.com/wp-content/uploads/2025/06/S803709e4cccc4a30b9976ca26d039b91o.webp,https://emovedistribution.com/wp-content/uploads/2025/06/S2cb04e364b1745d18bbf733b40ee2fcdC.webp,https://emovedistribution.com/wp-content/uploads/2025/06/S5b3ebe27131b46abbf41d7a61ab50309W.webp",100
SR-042,"Base de goma antideslizante de goma para Smartgyro Speedway (Original)",,30.9,"https://emovedistribution.com/wp-content/uploads/2025/06/rubber-base-speedway-1.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/rubber-base-speedway-2.jpg",
RRCU-047XC,"Rueda Cubierta Tubeless 80/60-6",,27.9,,100
RRCU-078XC-Cityroad,"Cubierta 90/65-6,5 Cityroad",,28.90,,0
RRCU-078XC-OFF,"Cubierta 90/65-6,5 Offroad",,28.9,,0
RRCU-078XC-Onroad,"Cubierta 90/65-6,5 Onroad",,26.90,,0
NAVEE-ST3,"Patinete eléctrico Navee ST3 (48V) - Nuevo","Ver protocolo postventa de garantía. Tiempo de entrega: 3-5 días El Mejor Diseño Del Mundo Inspirado En Cyberpunk Ultra Potencia con 1000W Max Sistema de suspensión Damping Arm Alcance máximo hasta 60 KM Sistema de Grado de Recuperación de Energía Automotriz",511.90,"https://emovedistribution.com/wp-content/uploads/2025/06/st33.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/st31.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/st32.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/st34.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/st35.jpg",0
NAVEE-V25,"Navee V25 DGT - Nuevo","Ver protocolo postventa de garantía. Tiempo de entrega: 3-5 días El NAVEE V25 (homologado DGT) es un patinete eléctrico urbano y plegable, ideal para desplazamientos cortos. Con un motor de hasta 600 W, alcanza los 25 km/h, ofrece hasta 25 km de autonomía, monta neumáticos de 10, y cuenta con frenos E-ABS delanteros y tambor trasero.",299,"https://emovedistribution.com/wp-content/uploads/2025/06/2185_all_1203.69-scaled.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/2185_all_1203.151-scaled.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/2185_all_1203.15-scaled.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/2185_all_1203.1229-scaled.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/2185_all_1203.1228-scaled.jpg",0
RRCU-079-CST-GEL,"Cubierta 90/55-7 Con Gel",,41.90,https://emovedistribution.com/wp-content/uploads/2025/06/rrcu-079-size.jpg,100
RRCU-079-CST,"Cubierta 90/55-7",,24.90,https://emovedistribution.com/wp-content/uploads/2025/06/rrcu-079-size.jpg,100
FR-015B-Azul,"Cable de Freno Genérico 1.3 metros (Azul)",,6.9,https://emovedistribution.com/wp-content/uploads/2025/06/fr015b-a.jpg,100
FR-015B-Rojo,"Cable de Freno Genérico 1.3 metros (Rojo)",,6.9,https://emovedistribution.com/wp-content/uploads/2025/06/fr015b-r.jpg,100
A-024-620,"Luz foco Para Patinetes o Bicicletas (1800 lúmenes)","Luz foco de máxima intensidad para patinete eléctrico o bicicleta. Incluye cargador y portalámparas 3250 lúmenes 4 funciones de iluminación Función Powerbank",36.9,"https://emovedistribution.com/wp-content/uploads/2025/06/107071-1.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/20250622-161413.png,https://emovedistribution.com/wp-content/uploads/2025/06/20250622-160642.png,https://emovedistribution.com/wp-content/uploads/2025/06/20250622-160733.png,https://emovedistribution.com/wp-content/uploads/2025/06/20250622-160729.png",
A-024-640,"Luz foco Para Patinetes o Bicicletas (3250 lúmenes)","Luz foco de alta intensidad para patinete eléctrico o bicicleta. Incluye cargador y portalámparas 1800 lúmenes 4 funciones de iluminación Función Powerbank","50,9","https://emovedistribution.com/wp-content/uploads/2025/06/107071.jpg,https://emovedistribution.com/wp-content/uploads/2025/06/20250622-161418.png,https://emovedistribution.com/wp-content/uploads/2025/06/20250622-160642.png",100
A-070F,"Candado de cadena con contraseña - 100cm",,13.90,"https://emovedistribution.com/wp-content/uploads/2025/06/070f.jpeg,https://emovedistribution.com/wp-content/uploads/2025/06/070f-.png",100
H-047-DC-XLR3PIN,"Cable convertidor DC a XLR de 3 pines",,9.9,,100
BCT-A-007DC,"Cargador premium 54,6V 2A (conector DC5521)",,40.9,https://emovedistribution.com/wp-content/uploads/2025/08/94-BCT-A-007DC-Cargador-premium-54-6V-2A-conector-DC5521-Suniik-.jpg,100
BCT-B-007-DC,"Cargador premium 54,6V 2A (conector DC5525)",,"24,90",https://emovedistribution.com/wp-content/uploads/2025/06/b-007dc.jpeg,100
REL-001W,"Acelerador de puño con conector impermeable para Smartgyro Rockway / Speedway / Crossover / Zwheel",,16.9,https://emovedistribution.com/wp-content/uploads/2025/06/REL-001W-.jpeg,100
REL-012-XT30-60,"Adaptador macho a hembra XT30 a XT60",,3.9,https://emovedistribution.com/wp-content/uploads/2025/06/REL-012-XT30-60-1.png,100
BCT-B-006B,"Cargador 42V GX16",,14.90,https://emovedistribution.com/wp-content/uploads/2025/06/BCT-B-006B-02.jpg,100
RRCU-083,"Rueda Cubierta 80/55-7,5 Offroad",,24.90,https://emovedistribution.com/wp-content/uploads/2025/06/20250615-124831.png,100
RRCU-070,"Rueda Cubierta 70/50-6,1 Cityroad",,18.90,https://emovedistribution.com/wp-content/uploads/2025/06/20250615-115211-1.png,100
SR-MAX2-010,"Display Smartgyro Crossover DUAL MAX 2 - (Deslimitado 40Km/h) - Versión V1","Esta versión es compatible para los modelos que tengan una referencia que empiece por 4CL o 4CM. Pantalla para deslimitar Smartgyro Crossover DUAL MAX 2 para uso en terrenos privados.","85,90",,100
SR-EVO-003,"Display Smartgyro Rockway EVO - (Deslimitado 40Km/h) - Original","Pantalla para deslimitar Smartgyro Rockway EVO y Rockway EVO PRO para uso en terrenos privados.","85,90",,100
RK-G2Pro-007,"Módulo para KuKirin G2 Pro (original)",,15.9,"https://emovedistribution.com/wp-content/uploads/2025/06/rk-007G2pro.png,https://emovedistribution.com/wp-content/uploads/2025/06/rk-007G2pro-.png",100
RK-G2Max-007,"Módulo para KuKirin G2 Max (original)",,16.9,https://emovedistribution.com/wp-content/uploads/2025/06/rk-007G2max.png,100
RK-G2Master-007,"Módulo para KuKirin G2 Master (original)",,26.9,"https://emovedistribution.com/wp-content/uploads/2025/06/rk007G2master-.png,https://emovedistribution.com/wp-content/uploads/2025/06/rk007G2master.png",100
BCT-A-007D,"Cargador 54,6V 2A Smartgyro Crossover Dual Max 2 / Cecotec Bongo Y65 / Engwe L20",,"34,90",https://emovedistribution.com/wp-content/uploads/2024/10/emove-新品带尺寸.jpg,0
BCT-A-007-PM,"Cargador para Xiaomi MI4 Pro Max / plus / Ninebot ZT3 / ZT3 pro",,34.90,https://emovedistribution.com/wp-content/uploads/2025/06/emove-新品带尺寸.jpg,100
RMR-001-4ProPlus/Max,"Puños con intermitente para Xiaomi 4 Pro Plus/Max",,33.90,"https://emovedistribution.com/wp-content/uploads/2025/06/001-4.png,https://emovedistribution.com/wp-content/uploads/2025/06/001-1.png,https://emovedistribution.com/wp-content/uploads/2025/06/001-5.png,https://emovedistribution.com/wp-content/uploads/2025/06/001-3.png,https://emovedistribution.com/wp-content/uploads/2025/06/001-2.png",100
RMR-061-Mi4ProMax,"Controladora Xiaomi MI4 Pro Max",,45.9,https://emovedistribution.com/wp-content/uploads/2025/08/139-RMR-061-Mi4ProMax-Controladora-Xiaomi-MI4-Pro-Max-1.png,100
RNMAX-G2-001-DES,"Pack controladora y display para Ninebot Max G2 (Deslimitado)","Kit completo (controladora + display) para la deslimitación del Ninebot MAX G2. Velocidad máxima en vacío (40km/hr). Solo para terrenos privados.","85,9","https://emovedistribution.com/wp-content/uploads/2025/06/20250604-174521.png,https://emovedistribution.com/wp-content/uploads/2025/06/20250604-174517.png",100
RNF-027-DES,"Pack controladora y display para Ninebot F2 (Deslimitado)","Kit completo (controladora + display) para la deslimitación del Ninebot F2. Velocidad máxima en vacío (40km/hr). Solo para terrenos privados.",85.9,"https://emovedistribution.com/wp-content/uploads/2025/06/20250604-173809.png,https://emovedistribution.com/wp-content/uploads/2025/06/20250604-173805.png",100
RME-006F-135,"Válvula tubeless 135",,2.9,"https://emovedistribution.com/wp-content/uploads/2025/06/20250604-165113.webp,https://emovedistribution.com/wp-content/uploads/2025/06/135.png",100
RME-006F-90,"Válvula tubeless 90",,2.90,"https://emovedistribution.com/wp-content/uploads/2025/06/901.jpeg,https://emovedistribution.com/wp-content/uploads/2025/06/20250604-165113-1.webp",100
RME-006F-45,"Válvula tubeless 45",,2.9,"https://emovedistribution.com/wp-content/uploads/2025/06/20250604-165113-1.webp,https://emovedistribution.com/wp-content/uploads/2025/06/45.png",100
RME-004A4,"Arandela de tornillo de aluminio verde (Paquete de 10 unidades)",,9.9,https://emovedistribution.com/wp-content/uploads/2025/08/145-RME-004A4-Arandela-Tornillo-de-Aluminio-Verde-Pack-10-unidades-.png,100
H-051,"Tornillo inserto de conector oliva BH59 para tubo de freno hidráulico",,7.9,,100
RRCU-077-CST,"Rueda cubierta 60/70-6,5 Tubeless Cityroad para Xiaomi 5/mi4 (2gen)",,26.90,https://emovedistribution.com/wp-content/uploads/2025/06/20250615-123751.png,100
